19	Krødsherad	9		1760385.824717	1956
19	Krødsherad	10		9013427.420522	10015
20	Alstahaug	1		152911468.699799	169903
20	Alstahaug	2		5750053.698425	6389
20	Alstahaug	3		1564187.404580	1738
20	Alstahaug	4		748793.970432	832
20	Alstahaug	5		530095.731472	589
20	Alstahaug	6		465296.253261	517
20	Alstahaug	7		503995.941637	560
20	Alstahaug	8		338397.275099	376
20	Alstahaug	9		262797.883854	292
20	Alstahaug	10		183598.521596	204
21	Kvitsøy	1		4232665.916997	4703
22	Vågå	1		645254304.164535	716955
22	Vågå	2		118503845.763050	131672
22	Vågå	3		65064976.072648	72295
22	Vågå	4		58495028.976299	64995
22	Vågå	5		47435018.035609	52706
22	Vågå	6		46135428.500386	51262
22	Vågå	7		50436493.866612	56041
22	Vågå	8		53510869.110603	59457
22	Vågå	9		66364565.607871	73739
22	Vågå	10		29140865.346911	32379
23	Nærøy	1		693367016.742332	770414
23	Nærøy	2		106040746.120550	117824
23	Nærøy	3		49503201.381830	55004
23	Nærøy	4		24892899.553107	27659
23	Nærøy	5		18070954.485939	20079
23	Nærøy	6		17022462.928782	18914
23	Nærøy	7		16192669.610587	17992
23	Nærøy	8		13798688.887812	15332
23	Nærøy	9		15815572.647112	17573
23	Nærøy	10		11582006.737364	12869
24	Leksvik	1		174331296.219049	193703
24	Leksvik	2		74978396.246112	83310
24	Leksvik	3		36181508.653040	40202
24	Leksvik	4		23404311.539770	26005
24	Leksvik	5		15612174.284952	17347
24	Leksvik	6		15802072.755818	17558
24	Leksvik	7		14018287.119526	15576
24	Leksvik	8		10875512.426320	12084
24	Leksvik	9		11092410.679774	12325
24	Leksvik	10		12448699.758428	13832
25	Sande	1		141972956.780935	157749
26	Stranda	1		550732565.290198	611930
26	Stranda	2		56711243.340002	63013
26	Stranda	3		30103857.592541	33449
26	Stranda	4		16695765.559471	18551
26	Stranda	5		13167793.968014	14631
26	Stranda	6		13596190.518405	15107
26	Stranda	7		7794837.233065	8661
26	Stranda	8		5281157.474152	5868
26	Stranda	9		5781553.444777	6424
26	Stranda	10		12261501.265821	13624
