 ; ;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017
 ;Willow Ptarmigan;0;0;0;..;0;0;0;0;0
Lindås;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Austrheim;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Fedje;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Masfjorden;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Unknown municipalities, Hordaland;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bergen (-1971);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Flora;;;;;;;;;;
 ;Willow Ptarmigan;150;..;..;100;..;..;..;..;..
Gulen;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Solund;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hyllestad;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Høyanger;;;;;;;;;;
 ;Willow Ptarmigan;..;150;150;..;..;..;100;..;..
Vik;;;;;;;;;;
 ;Willow Ptarmigan;150;200;200;200;100;150;250;150;150
Balestrand;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Leikanger;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;100;..;0;..;0;..
Sogndal;;;;;;;;;;
 ;Willow Ptarmigan;100;100;150;..;..;..;..;..;..
Aurland;;;;;;;;;;
 ;Willow Ptarmigan;100;100;150;100;..;..;..;..;..
Lærdal;;;;;;;;;;
 ;Willow Ptarmigan;400;450;400;350;150;250;300;150;250
Årdal;;;;;;;;;;
 ;Willow Ptarmigan;300;250;350;150;..;150;250;..;200
Luster;;;;;;;;;;
 ;Willow Ptarmigan;350;300;300;300;150;200;250;100;200
Askvoll;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Fjaler;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Gaular;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Jølster;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Førde;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Naustdal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;100;..;..;150;..;..
Bremanger;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Vågsøy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;0;..;..;0;..
Selje;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Eid;;;;;;;;;;
 ;Willow Ptarmigan;..;100;100;..;..;..;100;..;..
Hornindal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Gloppen;;;;;;;;;;
 ;Willow Ptarmigan;100;..;..;100;..;..;150;..;..
Stryn (-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Stryn;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Unknown municipalities, Sogn og Fjordane;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ålesund (-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Molde;;;;;;;;;;
 ;Willow Ptarmigan;..;..;100;..;..;..;..;..;..
Kristiansund  (-2007);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ålesund;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;..;0;0;0;0;0
Kristiansund;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;..;0;0;0;0;0
Vanylven;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Sande (M. og R.);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;0;0;0
Herøy (M. og R.);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Ulstein;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;0;..
Hareid;;;;;;;;;;
 ;Willow Ptarmigan;0;..;..;..;..;..;..;0;..
Volda;;;;;;;;;;
 ;Willow Ptarmigan;100;..;..;..;..;..;..;..;150
Ørsta;;;;;;;;;;
 ;Willow Ptarmigan;100;100;..;..;..;..;..;..;..
Ørskog;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Norddal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Stranda;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Stordal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Ørskog (-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sykkylven;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Skodje;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;0;0;0;..
Sula;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Giske;;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;0
Haram;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Vestnes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Rauma;;;;;;;;;;
 ;Willow Ptarmigan;300;300;300;150;..;100;200;100;150
Nesset;;;;;;;;;;
 ;Willow Ptarmigan;200;200;200;150;..;150;100;..;..
Midsund;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;..;..;..;0;0;0
Sandøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Aukra;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fræna;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Eide;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Averøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Frei (-2007);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Gjemnes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Tingvoll;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Sunndal;;;;;;;;;;
 ;Willow Ptarmigan;300;200;250;150;..;100;100;..;..
Surnadal;;;;;;;;;;
 ;Willow Ptarmigan;350;300;400;400;300;300;500;350;550
Rindal;;;;;;;;;;
 ;Willow Ptarmigan;450;350;500;650;200;300;300;..;300
Aure (-2005);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Halsa;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Tustna (-2005);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Smøla;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;0;0;0
Aure;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Unknown municipalities, Møre og Romsdal;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Trondheim;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Hemne;;;;;;;;;;
 ;Willow Ptarmigan;300;200;150;200;100;150;150;100;..
Snillfjord;;;;;;;;;;
 ;Willow Ptarmigan;150;..;..;..;..;..;..;..;150
Hitra;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;..;..;..
Frøya;;;;;;;;;;
 ;Willow Ptarmigan;..;..;100;100;150;100;100;..;..
Ørland;;;;;;;;;;
 ;Willow Ptarmigan;0;..;0;0;0;0;0;0;0
Agdenes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Rissa;;;;;;;;;;
 ;Willow Ptarmigan;250;200;250;300;200;250;300;300;350
Bjugn;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Åfjord;;;;;;;;;;
 ;Willow Ptarmigan;950;600;800;1000;450;550;650;600;750
Roan;;;;;;;;;;
 ;Willow Ptarmigan;150;100;150;250;100;..;100;150;..
Osen;;;;;;;;;;
 ;Willow Ptarmigan;200;150;200;200;100;100;200;..;..
Oppdal;;;;;;;;;;
 ;Willow Ptarmigan;3100;1950;2250;2850;1050;1700;1600;200;1250
Rennebu;;;;;;;;;;
 ;Willow Ptarmigan;750;500;650;750;150;400;550;..;400
Meldal;;;;;;;;;;
 ;Willow Ptarmigan;350;200;250;300;200;300;400;..;300
Orkdal;;;;;;;;;;
 ;Willow Ptarmigan;250;150;200;150;100;150;150;100;200
Røros;;;;;;;;;;
 ;Willow Ptarmigan;4400;2450;2900;2950;1000;1850;3200;450;2200
Holtålen;;;;;;;;;;
 ;Willow Ptarmigan;4800;1850;2350;2800;150;2250;3350;700;2400
Haltdalen (-1971);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Midtre Gauldal;;;;;;;;;;
 ;Willow Ptarmigan;3600;1850;2150;2700;250;1550;2450;650;2050
Melhus;;;;;;;;;;
 ;Willow Ptarmigan;450;250;250;400;100;..;150;..;150
Skaun;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;..;..;0;0;0;0
Klæbu;;;;;;;;;;
 ;Willow Ptarmigan;350;200;200;200;..;..;..;..;..
Malvik;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Selbu;;;;;;;;;;
 ;Willow Ptarmigan;2450;1400;1700;1450;800;1100;1500;250;1200
Tydal;;;;;;;;;;
 ;Willow Ptarmigan;2500;1900;2250;2250;1250;1450;2000;1050;1400
Unknown municipalities, Sør-Trøndelag;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Steinkjer;;;;;;;;;;
 ;Willow Ptarmigan;600;500;650;700;250;400;600;600;800
Namsos;;;;;;;;;;
 ;Willow Ptarmigan;350;500;550;450;250;300;350;250;250
Meråker;;;;;;;;;;
 ;Willow Ptarmigan;2750;1400;2150;2600;1300;1600;1800;350;1350
Stjørdal;;;;;;;;;;
 ;Willow Ptarmigan;950;400;300;550;200;400;650;100;600
Frosta;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;0;0;0;0;0
Leksvik;;;;;;;;;;
 ;Willow Ptarmigan;150;..;..;..;..;..;100;..;100
Levanger;;;;;;;;;;
 ;Willow Ptarmigan;350;250;300;350;200;200;300;200;250
Verdal;;;;;;;;;;
 ;Willow Ptarmigan;1900;850;1700;2500;1000;1150;1700;1100;1700
Mosvik  (-2011);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;100;0;0;0;0;0
Verran;;;;;;;;;;
 ;Willow Ptarmigan;600;750;700;800;600;550;600;450;550
Namdalseid;;;;;;;;;;
 ;Willow Ptarmigan;450;400;400;400;300;250;400;400;400
Inderøy (-2011);;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;0
Snåase - Snåsa;;;;;;;;;;
 ;Willow Ptarmigan;3950;2650;3850;4450;2250;2200;3050;2900;3500
Lierne;;;;;;;;;;
 ;Willow Ptarmigan;4700;2900;4800;6900;2950;3100;4550;2700;3300
Raarvihke - Røyrvik;;;;;;;;;;
 ;Willow Ptarmigan;1300;1050;1700;2650;1050;950;1350;1050;850
Namsskogan;;;;;;;;;;
 ;Willow Ptarmigan;1350;1350;2250;2650;1050;950;1200;1050;750
Grong;;;;;;;;;;
 ;Willow Ptarmigan;950;900;1200;1600;800;750;850;750;750
Høylandet;;;;;;;;;;
 ;Willow Ptarmigan;250;200;350;300;150;100;250;250;200
Overhalla;;;;;;;;;;
 ;Willow Ptarmigan;650;750;750;700;450;450;550;300;350
Fosnes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Flatanger;;;;;;;;;;
 ;Willow Ptarmigan;..;150;100;100;..;150;100;100;..
Vikna;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Nærøy;;;;;;;;;;
 ;Willow Ptarmigan;250;200;250;300;150;150;200;200;150
Leka;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Inderøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;..;..;..;..
Unknown municipalities, Nord-Trøndelag;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bodø;;;;;;;;;;
 ;Willow Ptarmigan;500;350;500;1350;400;500;800;550;600
Narvik;;;;;;;;;;
 ;Willow Ptarmigan;700;600;550;650;400;300;650;300;250
Bindal;;;;;;;;;;
 ;Willow Ptarmigan;150;150;200;250;..;..;100;150;100
Sømna;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Brønnøy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Brønnøy (-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Vega;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;0
Vevelstad;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;..;..;..;..
Herøy (Nordl.);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Alstahaug;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Leirfjord;;;;;;;;;;
 ;Willow Ptarmigan;..;100;100;100;100;100;100;..;..
Vefsn;;;;;;;;;;
 ;Willow Ptarmigan;250;200;300;350;150;150;300;150;100
Grane;;;;;;;;;;
 ;Willow Ptarmigan;450;350;1200;1350;450;550;1000;300;300
Hattfjelldal;;;;;;;;;;
 ;Willow Ptarmigan;1050;800;1400;1850;1000;1350;2450;850;550
Dønna;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Nesna;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Hemnes;;;;;;;;;;
 ;Willow Ptarmigan;650;400;800;1400;500;600;1050;300;450
Rana;;;;;;;;;;
 ;Willow Ptarmigan;2050;1800;2350;4800;1450;2050;3250;900;1600
Lurøy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Træna;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Rødøy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Meløy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Gildeskål;;;;;;;;;;
 ;Willow Ptarmigan;200;150;200;200;..;150;250;100;100
Beiarn;;;;;;;;;;
 ;Willow Ptarmigan;350;250;400;750;250;250;500;250;200
Saltdal;;;;;;;;;;
 ;Willow Ptarmigan;650;550;850;1800;500;700;1350;650;600
Fauske - Fuosko;;;;;;;;;;
 ;Willow Ptarmigan;350;300;350;750;200;250;500;250;300
Skjerstad (-2004);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sørfold;;;;;;;;;;
 ;Willow Ptarmigan;350;300;250;600;..;100;250;200;150
Steigen;;;;;;;;;;
 ;Willow Ptarmigan;100;..;150;150;..;..;100;..;..
Hamarøy - Hábmer;;;;;;;;;;
 ;Willow Ptarmigan;100;..;150;250;150;100;150;100;..
Divtasvuodna - Tysfjord;;;;;;;;;;
 ;Willow Ptarmigan;100;100;..;200;..;..;150;..;..
Lødingen;;;;;;;;;;
 ;Willow Ptarmigan;300;250;150;..;150;150;250;300;250
Tjeldsund;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;100;150;150
Evenes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Ballangen;;;;;;;;;;
 ;Willow Ptarmigan;200;100;150;200;..;..;200;200;150
Ankenes (-1973);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Røst;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Værøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Moskenes (1916-1975);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Flakstad;;;;;;;;;;
 ;Willow Ptarmigan;300;300;150;350;200;150;250;350;300
Vestvågøy;;;;;;;;;;
 ;Willow Ptarmigan;150;150;150;150;150;100;300;300;350
Vågan;;;;;;;;;;
 ;Willow Ptarmigan;200;200;150;200;100;250;300;400;350
Hadsel;;;;;;;;;;
 ;Willow Ptarmigan;450;400;350;450;450;500;800;950;800
Bø (Nordl.);;;;;;;;;;
 ;Willow Ptarmigan;200;150;150;200;200;300;400;400;350
Øksnes;;;;;;;;;;
 ;Willow Ptarmigan;450;400;300;500;450;750;950;900;650
Sortland - Suortá;;;;;;;;;;
 ;Willow Ptarmigan;200;400;200;300;350;300;450;500;550
Andøy;;;;;;;;;;
 ;Willow Ptarmigan;600;900;700;750;600;750;950;1100;850
Moskenes;;;;;;;;;;
 ;Willow Ptarmigan;..;150;100;..;..;..;..;..;..
Unknown municipalities, Nordland;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Harstad (-2012);;;;;;;;;;
 ;Willow Ptarmigan;400;400;350;400;300;0;0;0;0
Tromsø;;;;;;;;;;
 ;Willow Ptarmigan;2250;1950;1900;2800;2700;2450;3450;4200;4100
Harstad - Hárstták;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;350;600;1200;850
Kvæfjord;;;;;;;;;;
 ;Willow Ptarmigan;200;100;..;..;..;150;550;1000;700
Skånland;;;;;;;;;;
 ;Willow Ptarmigan;..;200;200;250;150;150;200;150;100
Bjarkøy (-2012);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;0;0;0
Ibestad;;;;;;;;;;
 ;Willow Ptarmigan;750;800;900;1000;750;700;600;1150;1000
Gratangen;;;;;;;;;;
 ;Willow Ptarmigan;..;..;100;..;..;..;100;..;..
Loabák - Lavangen;;;;;;;;;;
 ;Willow Ptarmigan;..;150;..;100;..;..;150;..;..
Salangen (-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bardu;;;;;;;;;;
 ;Willow Ptarmigan;1150;1150;1100;1550;800;1450;2650;3300;1700
Salangen;;;;;;;;;;
 ;Willow Ptarmigan;300;200;250;250;100;100;200;200;200
Målselv;;;;;;;;;;
 ;Willow Ptarmigan;750;550;700;850;400;550;1200;1250;850
Sørreisa;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;200;..;100;200;200;200
Dyrøy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Tranøy;;;;;;;;;;
 ;Willow Ptarmigan;400;250;250;450;450;400;500;850;550
Torsken;;;;;;;;;;
 ;Willow Ptarmigan;150;150;100;250;200;200;250;400;450
Berg;;;;;;;;;;
 ;Willow Ptarmigan;350;250;300;400;300;300;400;850;750
Lenvik;;;;;;;;;;
 ;Willow Ptarmigan;700;500;600;900;750;600;850;1150;950
Balsfjord;;;;;;;;;;
 ;Willow Ptarmigan;150;100;100;200;..;150;200;200;250
Karlsøy;;;;;;;;;;
 ;Willow Ptarmigan;3600;3500;3900;5950;6450;5950;6200;7450;8900
Lyngen;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Storfjord - Omasvuotna - Omasvuono;;;;;;;;;;
 ;Willow Ptarmigan;300;150;200;250;150;250;550;450;300
Gáivuotna - Kåfjord - Kaivuono;;;;;;;;;;
 ;Willow Ptarmigan;100;..;..;..;..;..;..;..;..
Skjervøy;;;;;;;;;;
 ;Willow Ptarmigan;700;550;600;950;800;750;650;800;800
Nordreisa;;;;;;;;;;
 ;Willow Ptarmigan;200;300;250;500;250;450;700;950;600
Kvænangen;;;;;;;;;;
 ;Willow Ptarmigan;250;150;200;200;100;150;250;250;250
Unknown municipalities, Troms;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hammerfest (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Vardø;;;;;;;;;;
 ;Willow Ptarmigan;100;..;..;100;..;..;150;250;100
Vadsø;;;;;;;;;;
 ;Willow Ptarmigan;1100;650;400;950;350;750;950;1350;850
Hammerfest;;;;;;;;;;
 ;Willow Ptarmigan;700;450;350;600;500;450;400;500;550
Guovdageaidnu - Kautokeino;;;;;;;;;;
 ;Willow Ptarmigan;4550;3700;2550;4250;3100;4050;5350;12050;7250
Alta;;;;;;;;;;
 ;Willow Ptarmigan;1400;1350;1000;2150;950;1500;2300;4350;2300
Loppa;;;;;;;;;;
 ;Willow Ptarmigan;150;..;150;150;..;..;100;150;..
Hasvik;;;;;;;;;;
 ;Willow Ptarmigan;1050;650;400;550;350;450;500;700;500
Sørøysund (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Kvalsund;;;;;;;;;;
 ;Willow Ptarmigan;750;550;400;1000;450;750;950;1350;950
Måsøy;;;;;;;;;;
 ;Willow Ptarmigan;300;200;100;150;..;100;200;250;300
Nordkapp;;;;;;;;;;
 ;Willow Ptarmigan;100;100;..;..;..;100;..;150;..
Porsanger - Porsángu - Porsanki;;;;;;;;;;
 ;Willow Ptarmigan;1850;1550;1050;1900;850;1250;1450;2850;1600
Kárásjohka - Karasjok;;;;;;;;;;
 ;Willow Ptarmigan;600;700;400;550;300;550;750;1950;1200
Lebesby;;;;;;;;;;
 ;Willow Ptarmigan;650;700;600;1200;500;550;650;900;600
Gamvik;;;;;;;;;;
 ;Willow Ptarmigan;..;100;..;..;..;..;..;..;..
Berlevåg;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Deatnu - Tana;;;;;;;;;;
 ;Willow Ptarmigan;2450;2150;1350;2600;1050;1850;1800;3750;2250
Unjárga - Nesseby;;;;;;;;;;
 ;Willow Ptarmigan;1200;800;400;600;400;650;700;1300;550
Båtsfjord;;;;;;;;;;
 ;Willow Ptarmigan;200;150;..;..;..;..;..;150;150
Sør-Varanger;;;;;;;;;;
 ;Willow Ptarmigan;1700;1050;800;2500;950;1850;2800;3950;2000
Unknown municipalities, Finnmark;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Longyearbyen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bjørnøya;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hopen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Unknown munipalities in Svalbard;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Jan Mayen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Unknown  in Jan Mayen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Continental shelf;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Shelf south of  62° N;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Shelf north of 62° N;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
The shelf, unknown;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Norwegian living abroad;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Unknown municipality;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
;;;;;;;;;;
Number at municipality level are estimated. ;;;;;;;;;;
Yield is estimated for municipalities with at least 25 small game ;;;;;;;;;;
felled. For grouse, yield is estimated for municipalities with at ;;;;;;;;;;
least 100 felled.;;;;;;;;;;
;;;;;;;;;;
1 January 1992 the municipalities 0102 Sarpsborg, 0114 Varteig, 0115 ;;;;;;;;;;
Skjeberg and 0130 Tune were merged to new municipality 0105 Sarpsborg.;;;;;;;;;;
;;;;;;;;;;
1 January 1994 the municipalities 0103 Fredrikstad, 0113 Borge, 0131 ;;;;;;;;;;
Rolvsøy, 0133 Kråkerøy og 0134 Onsøy were merged to new municipality ;;;;;;;;;;
01056 Fredrikstad.;;;;;;;;;;
;;;;;;;;;;
1 January 1992 the municipalities 0102 Sarpsborg, 0114 Varteig, 0115 ;;;;;;;;;;
Skjeberg and 0130 Tune were merged to new municipality 0105 Sarpsborg.;;;;;;;;;;
;;;;;;;;;;
1 January 1994 the municipalities 0103 Fredrikstad, 0113 Borge, 0131 ;;;;;;;;;;
Rolvsøy, 0133 Kråkerøy og 0134 Onsøy were merged to new municipality ;;;;;;;;;;
01056 Fredrikstad.;;;;;;;;;;
;;;;;;;;;;
1 January 1994 the municipalities 0103 Fredrikstad, 0113 Borge, 0131 ;;;;;;;;;;
Rolvsøy, 0133 Kråkerøy og 0134 Onsøy were merged to new municipality ;;;;;;;;;;
01056 Fredrikstad.;;;;;;;;;;
;;;;;;;;;;
1 January 1992 the municipalities 0102 Sarpsborg, 0114 Varteig, 0115 ;;;;;;;;;;
Skjeberg and 0130 Tune were merged to new municipality 0105 Sarpsborg.;;;;;;;;;;
;;;;;;;;;;
1 January 1992 the municipalities 0102 Sarpsborg, 0114 Varteig, 0115 ;;;;;;;;;;
Skjeberg and 0130 Tune were merged to new municipality 0105 Sarpsborg.;;;;;;;;;;
;;;;;;;;;;
1 January 1992 the municipalities 0102 Sarpsborg, 0114 Varteig, 0115 ;;;;;;;;;;
Skjeberg and 0130 Tune were merged to new municipality 0105 Sarpsborg.;;;;;;;;;;
;;;;;;;;;;
1 January 1994 the municipalities 0103 Fredrikstad, 0113 Borge, 0131 ;;;;;;;;;;
Rolvsøy, 0133 Kråkerøy og 0134 Onsøy were merged to new municipality ;;;;;;;;;;
01056 Fredrikstad.;;;;;;;;;;
;;;;;;;;;;
1 January 1994 the municipalities 0103 Fredrikstad, 0113 Borge, 0131 ;;;;;;;;;;
Rolvsøy, 0133 Kråkerøy og 0134 Onsøy were merged to new municipality ;;;;;;;;;;
01056 Fredrikstad.;;;;;;;;;;
;;;;;;;;;;
1 January 2017 the municipalities 0706 Sandefjord, 0719 Andebu and ;;;;;;;;;;
most of 0720 Stokke were merged to new municipality 0710 Sandefjord. ;;;;;;;;;;
Also an area of 3 km2, with about 2 200 persons, was transferred from ;;;;;;;;;;
Stokke to 0704 Tønsberg.;;;;;;;;;;
;;;;;;;;;;
Name changed from Fredriksvern in 1930.;;;;;;;;;;
;;;;;;;;;;
1 January 2017 the municipalities 0706 Sandefjord, 0719 Andebu and ;;;;;;;;;;
most of 0720 Stokke were merged to new municipality 0710 Sandefjord. ;;;;;;;;;;
Also an area of 3 km2, with about 2 200 persons, was transferred from ;;;;;;;;;;
Stokke to 0704 Tønsberg.;;;;;;;;;;
;;;;;;;;;;
1 January 2017 the municipalities 0706 Sandefjord, 0719 Andebu and ;;;;;;;;;;
most of 0720 Stokke were merged to new municipality 0710 Sandefjord. ;;;;;;;;;;
Also an area of 3 km2, with about 2 200 persons, was transferred from ;;;;;;;;;;
Stokke to 0704 Tønsberg.;;;;;;;;;;
;;;;;;;;;;
