"ID"	"Total"	"TotalTerrestrial"	"nuTypes"	"Forest"	"Open"	"HabitatClass"
"157"	454	1595	1556	13	10	1546	20
"158"	455	2043	2043	11	0	2043	17
"159"	456	1028	1028	14	9	1019	14
"160"	457	1648	1576	18	446	1130	14
"161"	458	1567	1567	8	0	1567	17
"162"	459	2183	2089	18	129	1960	17
"163"	460	1310	1310	17	294	1016	17
"164"	461	1128	1128	7	0	1128	17
"165"	462	2320	2320	10	0	2320	17
"166"	463	2912	2896	19	481	2415	17
"167"	464	2603	2498	18	24	2474	17
"168"	465	952	827	16	107	720	17
"169"	466	1246	1209	19	100	1109	17
"170"	467	1028	1028	6	0	1028	17
"171"	468	1594	1594	10	0	1594	17
"172"	469	1933	1933	18	519	1414	17
"173"	470	1476	1476	14	1437	39	4
"174"	471	1588	1542	16	92	1450	14
"175"	472	1756	1756	9	1	1755	17
"176"	473	2275	2137	18	447	1690	17
"177"	474	2120	2120	10	0	2120	17
"178"	475	994	981	9	6	975	20
"179"	476	1788	1784	13	5	1779	17
"180"	477	2274	2193	11	0	2193	17
"181"	478	2122	2087	15	21	2066	17
"182"	479	981	981	13	503	478	4
"183"	480	1227	1227	13	932	295	4
"184"	481	1299	1299	17	721	578	5
"185"	482	1011	1011	13	18	993	17
"186"	483	2154	2154	17	563	1591	17
"187"	484	1402	1402	15	515	887	17
"188"	485	1084	1044	14	148	896	16
"189"	486	2122	2122	11	0	2122	17
"190"	487	1960	1959	11	0	1959	17
"191"	488	788	718	12	0	718	14
"192"	489	1964	1960	16	957	1003	17
"193"	490	838	838	12	2	836	20
"194"	491	1087	1087	15	183	904	17
"195"	492	1068	1068	9	0	1068	14
"196"	493	2082	1979	9	0	1979	17
"197"	494	1676	1591	15	2	1589	17
"198"	495	924	924	13	787	137	4
"199"	496	1932	1932	13	581	1351	17
"200"	497	896	845	13	142	703	16
"201"	498	1555	1555	10	0	1555	17
"202"	499	2018	2015	13	23	1992	17
"203"	500	2247	2179	13	1	2178	17
"204"	501	1160	1117	8	0	1117	14
"205"	502	1870	1735	14	3	1732	17
"206"	503	1958	1955	16	1171	784	6
"207"	504	1962	1958	12	1	1957	17
"208"	505	1961	1943	14	6	1937	17
"209"	506	1017	970	14	5	965	14
"210"	507	1995	1995	10	0	1995	17
"211"	508	2060	2060	11	1	2059	16
"212"	509	1143	1143	17	341	802	16
"213"	510	1303	1190	17	8	1182	14
"214"	511	1448	1366	9	0	1366	20
"215"	512	1049	1036	16	599	437	6
"216"	513	1657	1650	17	992	658	6
"217"	514	1925	1912	13	1	1911	17
"218"	515	2211	2198	19	479	1719	17
"219"	516	2191	2146	19	772	1374	17
"220"	517	950	950	8	0	950	16
"221"	518	1407	1348	12	3	1345	17
"222"	519	1964	1875	12	0	1875	17
"223"	520	1968	1788	13	39	1749	17
"224"	521	1963	1963	14	742	1221	17
"225"	522	1963	1957	12	0	1957	17
"226"	523	1094	1082	15	138	944	17
"227"	524	2268	2215	19	399	1816	14
"228"	525	1072	934	17	6	928	14
"229"	526	499	481	10	12	469	14
"230"	527	757	742	13	102	640	17
"231"	528	1418	1391	16	69	1322	17
"232"	529	1381	1378	15	202	1176	20
"233"	530	958	929	16	638	291	7
"234"	531	1057	1043	11	6	1037	20
"235"	532	679	646	14	22	624	14
"236"	533	607	541	10	0	541	14
"237"	534	926	889	15	633	256	6
"238"	535	1784	1783	18	698	1085	17
"239"	536	2120	2052	17	1068	984	17
"240"	537	2056	2044	17	393	1651	17
"241"	538	766	753	11	3	750	17
"242"	539	764	764	14	445	319	6
"243"	540	1023	976	13	14	962	17
"244"	541	870	869	13	10	859	17
"245"	542	884	883	9	1	882	17
"246"	543	991	991	12	122	869	17
"247"	544	1111	1106	14	418	688	17
"248"	545	609	557	9	1	556	17
"249"	546	1931	1912	17	744	1168	17
"250"	547	643	643	12	67	576	17
"251"	548	491	484	8	0	484	17
"252"	549	1316	1316	14	474	842	17
"253"	550	618	614	8	1	613	14
"254"	551	435	391	8	5	386	17
"255"	552	1887	1850	15	550	1300	17
"256"	553	875	770	10	12	758	17
"257"	554	1898	1893	17	604	1289	17
"258"	555	806	741	13	15	726	17
"259"	556	635	635	10	0	635	17
"260"	557	1541	1541	15	1126	415	7
"261"	558	1340	1340	14	1072	268	7
"262"	559	1457	1454	17	12	1442	14
"263"	560	1323	1303	18	760	543	17
"264"	561	1561	1561	18	359	1202	17
"265"	562	2078	2065	20	383	1682	14
"266"	563	1672	1672	16	920	752	7
"267"	564	1360	1360	16	269	1091	17
"268"	565	761	761	14	230	531	17
"269"	566	776	776	15	200	576	17
"270"	567	5260	5260	18	835	4425	17
"271"	568	734	734	12	40	694	17
"272"	569	1587	1587	14	110	1477	14
"273"	570	1278	1278	14	741	537	7
"274"	571	841	841	8	0	841	16
